;(Intercept);Emersion;Population;Salinity;Temperature;Emersion:Population;Emersion:Salinity;Emersion:Temperature;Population:Salinity;Population:Temperature;Salinity:Temperature;Emersion:Population:Salinity;Emersion:Population:Temperature;Emersion:Salinity:Temperature;Population:Salinity:Temperature;Emersion:Population:Salinity:Temperature;df;logLik;AICc;delta;weight
992;6.061080026;+;+;+;+;+;NA;+;+;+;+;NA;NA;NA;NA;NA;14;-659.5877648;1347.720277;8.209457224;0.001156069
2048;6.046062306;+;+;+;+;+;+;+;+;+;+;+;NA;NA;NA;NA;16;-657.5067828;1347.720978;8.210158242;0.001155664
2912;6.068110538;+;+;+;+;+;NA;+;NA;+;+;NA;+;NA;NA;NA;14;-659.5895685;1347.723884;8.213064497;0.001153986
384;6.056866441;+;+;+;+;+;+;+;NA;+;NA;NA;NA;NA;NA;NA;13;-660.65502;1347.781543;8.270722969;0.001121193
4736;6.061975026;+;+;+;+;+;+;+;NA;NA;+;NA;NA;+;NA;NA;14;-659.6570748;1347.858897;8.348077067;0.001078656
622;6.013810886;+;NA;+;+;NA;+;+;NA;NA;+;NA;NA;NA;NA;NA;11;-662.7725605;1347.886206;8.375386796;0.001064027
896;6.063356507;+;+;+;+;+;+;+;NA;+;+;NA;NA;NA;NA;NA;14;-659.709659;1347.964065;8.45324563;0.001023401
176;6.041156872;+;+;+;+;NA;+;NA;+;NA;NA;NA;NA;NA;NA;NA;11;-662.829597;1348.000279;8.489459725;0.001005037
9103;6.041392688;NA;+;+;+;NA;NA;NA;+;+;+;NA;NA;NA;+;NA;12;-661.8544353;1348.112493;8.601673286;0.000950201
400;6.041903446;+;+;+;+;NA;NA;NA;+;+;NA;NA;NA;NA;NA;NA;11;-662.9719837;1348.285053;8.774233107;0.000871654
208;6.042413383;+;+;+;+;NA;NA;+;+;NA;NA;NA;NA;NA;NA;NA;11;-662.9760862;1348.293258;8.782438091;0.000868086
304;6.043984649;+;+;+;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;NA;11;-663.1142754;1348.569636;9.058816493;0.000756045
112;6.044306303;+;+;+;+;NA;+;+;NA;NA;NA;NA;NA;NA;NA;NA;11;-663.1165952;1348.574276;9.063456152;0.000754294
688;6.047016324;+;+;+;+;NA;+;NA;+;NA;+;NA;NA;NA;NA;NA;12;-662.1021247;1348.607872;9.097052182;0.000741729
10240;6.037791564;+;+;+;+;+;+;+;+;+;+;+;NA;NA;+;NA;17;-656.9230314;1348.642938;9.132118196;0.000728837
720;6.047958951;+;+;+;+;NA;NA;+;+;NA;+;NA;NA;NA;NA;NA;12;-662.1900525;1348.783727;9.272907689;0.000679295
912;6.047643266;+;+;+;+;NA;NA;NA;+;+;+;NA;NA;NA;NA;NA;12;-662.1903332;1348.784289;9.273469055;0.000679105
336;6.045493826;+;+;+;+;NA;NA;+;NA;+;NA;NA;NA;NA;NA;NA;11;-663.2500038;1348.841093;9.330273269;0.000660088
624;6.050350915;+;+;+;+;NA;+;+;NA;NA;+;NA;NA;NA;NA;NA;12;-662.3376414;1349.078905;9.568085445;0.000586086
816;6.05020098;+;+;+;+;NA;+;NA;NA;+;+;NA;NA;NA;NA;NA;12;-662.3386679;1349.080958;9.570138437;0.000585485
3584;6.042003669;+;+;+;+;+;+;+;+;+;NA;+;+;NA;NA;NA;16;-658.2051282;1349.117669;9.606849064;0.000574836
9152;6.054605247;+;+;+;+;+;+;NA;+;+;+;NA;NA;NA;+;NA;15;-659.2599419;1349.14326;9.632440821;0.000567528
848;6.051352219;+;+;+;+;NA;NA;+;NA;+;+;NA;NA;NA;NA;NA;12;-662.4184554;1349.240533;9.729713519;0.000540586
332;6.051423018;+;+;NA;+;NA;NA;+;NA;+;NA;NA;NA;NA;NA;NA;10;-664.4933994;1349.27067;9.759850304;0.000532501
9184;6.05595965;+;+;+;+;+;NA;+;+;+;+;NA;NA;NA;+;NA;15;-659.3286395;1349.280656;9.76983616;0.000529849
512;6.052833275;+;+;+;+;+;+;+;+;+;NA;NA;NA;NA;NA;NA;14;-660.4155425;1349.375832;9.865012498;0.000505225
2528;6.057872388;+;+;+;+;+;NA;+;+;+;NA;NA;+;NA;NA;NA;14;-660.4196784;1349.384104;9.873284418;0.00050314
3040;6.064558375;+;+;+;+;+;NA;+;+;+;+;NA;+;NA;NA;NA;15;-659.4513635;1349.526104;10.01528403;0.000468655
4864;6.0583772;+;+;+;+;+;+;+;+;NA;+;NA;NA;+;NA;NA;15;-659.4686193;1349.560615;10.04979574;0.000460638
6144;6.044120212;+;+;+;+;+;+;+;+;+;+;+;NA;+;NA;NA;17;-657.3852113;1349.567298;10.05647801;0.000459101
2432;6.059827413;+;+;+;+;+;+;+;NA;+;NA;NA;+;NA;NA;NA;14;-660.5407213;1349.62619;10.11537011;0.00044578
1024;6.059586386;+;+;+;+;+;+;+;+;+;+;NA;NA;NA;NA;NA;15;-659.5320964;1349.687569;10.17674992;0.000432306
4718;6.010610771;+;NA;+;+;NA;+;+;NA;NA;+;NA;NA;+;NA;NA;12;-662.6580132;1349.719649;10.2088291;0.000425428
4096;6.048103326;+;+;+;+;+;+;+;+;+;+;+;+;NA;NA;NA;17;-657.466201;1349.729277;10.21845739;0.000423385
2944;6.066849987;+;+;+;+;+;+;+;NA;+;+;NA;+;NA;NA;NA;15;-659.5557593;1349.734895;10.22407563;0.000422197
4992;6.062357298;+;+;+;+;+;+;+;NA;+;+;NA;NA;+;NA;NA;15;-659.6553832;1349.934143;10.42332356;0.000382163
432;6.03978734;+;+;+;+;NA;+;NA;+;+;NA;NA;NA;NA;NA;NA;12;-662.8029353;1350.009493;10.49867322;0.000368033
240;6.040326364;+;+;+;+;NA;+;+;+;NA;NA;NA;NA;NA;NA;NA;12;-662.8102241;1350.02407;10.51325096;0.00036536
9104;6.041774127;+;+;+;+;NA;NA;NA;+;+;+;NA;NA;NA;+;NA;13;-661.8522952;1350.176093;10.66527352;0.000338618
464;6.041091302;+;+;+;+;NA;NA;+;+;+;NA;NA;NA;NA;NA;NA;12;-662.9541068;1350.311836;10.80101636;0.000316398
14336;6.035087409;+;+;+;+;+;+;+;+;+;+;+;NA;+;+;NA;18;-656.7520582;1350.395903;10.88508302;0.000303375
368;6.043279963;+;+;+;+;NA;+;+;NA;+;NA;NA;NA;NA;NA;NA;12;-663.1009453;1350.605513;11.0946934;0.000273189
944;6.045963079;+;+;+;+;NA;+;NA;+;+;+;NA;NA;NA;NA;NA;13;-662.088771;1350.649045;11.13822505;0.000267307
752;6.046341905;+;+;+;+;NA;+;+;+;NA;+;NA;NA;NA;NA;NA;13;-662.0903609;1350.652224;11.14140487;0.000266882
12288;6.038957421;+;+;+;+;+;+;+;+;+;+;+;+;NA;+;NA;18;-656.9130538;1350.717894;11.2070742;0.000258261
976;6.046955937;+;+;+;+;NA;NA;+;+;+;+;NA;NA;NA;NA;NA;13;-662.1791088;1350.82972;11.31890063;0.000244218
4720;6.048646263;+;+;+;+;NA;+;+;NA;NA;+;NA;NA;+;NA;NA;13;-662.2477432;1350.966989;11.45616947;0.000228018
880;6.049669793;+;+;+;+;NA;+;+;NA;+;+;NA;NA;NA;NA;NA;13;-662.331652;1351.134806;11.62398696;0.000209666
11232;6.059313901;+;+;+;+;+;NA;+;+;+;+;NA;+;NA;+;NA;16;-659.2273085;1351.162029;11.65120963;0.000206832
9216;6.054296444;+;+;+;+;+;+;+;+;+;+;NA;NA;NA;+;NA;16;-659.2576614;1351.222735;11.71191548;0.000200648
2560;6.055600202;+;+;+;+;+;+;+;+;+;NA;NA;+;NA;NA;NA;15;-660.3277714;1351.278919;11.76809993;0.00019509
3072;6.063025168;+;+;+;+;+;+;+;+;+;+;NA;+;NA;NA;NA;16;-659.4060681;1351.519549;12.00872898;0.000172975
8192;6.04605436;+;+;+;+;+;+;+;+;+;+;+;+;+;NA;NA;18;-657.3526864;1351.597159;12.08633949;0.000166391
5120;6.058342062;+;+;+;+;+;+;+;+;+;+;NA;NA;+;NA;NA;16;-659.4686073;1351.644627;12.13380726;0.000162488
7040;6.065917527;+;+;+;+;+;+;+;NA;+;+;NA;+;+;NA;NA;16;-659.5081089;1351.72363;12.21281039;0.000156195
32768;6.052732947;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;20;-655.4494441;1351.996927;12.48610784;0.000136245
9136;6.040193681;+;+;+;+;NA;+;NA;+;+;+;NA;NA;NA;+;NA;14;-661.734736;1352.014219;12.50339956;0.000135072
496;6.038822526;+;+;+;+;NA;+;+;+;+;NA;NA;NA;NA;NA;NA;13;-662.7806973;1352.032897;12.52207766;0.000133817
9168;6.040822697;+;+;+;+;NA;NA;+;+;+;+;NA;NA;NA;+;NA;14;-661.8328551;1352.210457;12.69963777;0.000122449
16384;6.035930787;+;+;+;+;+;+;+;+;+;+;+;+;+;+;NA;19;-656.7474579;1352.487083;12.97626339;0.000106631
4848;6.044311363;+;+;+;+;NA;+;+;+;NA;+;NA;NA;+;NA;NA;14;-661.9841894;1352.513126;13.00230644;0.000105252
1008;6.045177954;+;+;+;+;NA;+;+;+;+;+;NA;NA;NA;NA;NA;14;-662.075368;1352.695483;13.1846636;9.61E-05
4976;6.047804122;+;+;+;+;NA;+;+;NA;+;+;NA;NA;+;NA;NA;14;-662.2393957;1353.023538;13.51271885;8.15E-05
11264;6.057521362;+;+;+;+;+;+;+;+;+;+;NA;+;NA;+;NA;17;-659.1665929;1353.130061;13.61924124;7.73E-05
13312;6.052602595;+;+;+;+;+;+;+;+;+;+;NA;NA;+;+;NA;17;-659.1753902;1353.147655;13.63683593;7.66E-05
7168;6.061837481;+;+;+;+;+;+;+;+;+;+;NA;+;+;NA;NA;17;-659.3503674;1353.49761;13.98679029;6.43E-05
9200;6.039113262;+;+;+;+;NA;+;+;+;+;+;NA;NA;NA;+;NA;15;-661.7118116;1354.047;14.53618032;4.89E-05
5104;6.042911519;+;+;+;+;NA;+;+;+;+;+;NA;NA;+;NA;NA;15;-661.9645989;1354.552574;15.04175483;3.80E-05
15360;6.055843126;+;+;+;+;+;+;+;+;+;+;NA;+;+;+;NA;18;-659.0937449;1355.079276;15.5684565;2.92E-05
13296;6.036186357;+;+;+;+;NA;+;+;+;+;+;NA;NA;+;+;NA;16;-661.5678041;1355.84302;16.33220094;1.99E-05
