"","(Intercept)","Emersion","Population","Salinity","Temperature","Emersion:Population","Emersion:Salinity","Emersion:Temperature","Population:Salinity","Population:Temperature","Salinity:Temperature","Emersion:Population:Salinity","Emersion:Population:Temperature","Emersion:Salinity:Temperature","Population:Salinity:Temperature","Emersion:Population:Salinity:Temperature","df","logLik","AICc","delta","weight"
"16384",-0.939081242803349,"+","+","+","+","+","+","+","+","+","+","+","+","+","+",NA,40,99.6518001029839,-109.740917990224,9.83229355199877,0.00109036985231845
"184",-0.939081242803349,"+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,24,80.5200294071373,-109.697440429873,9.8757711123497,0.00106692232548943
"143",-0.939081242803351,NA,"+","+","+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,20,75.9864185154452,-109.658787444113,9.91442409810962,0.00104650043616176
"1536",-0.939081242803352,"+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,NA,32,89.820324808909,-109.623555600724,9.94965594149913,0.00102822679251761
"1792",-0.93908124280335,"+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,30,87.3921827238651,-109.515243634699,10.0579679075241,0.000974023133084051
"800",-0.93908124280335,"+","+","+","+","+",NA,NA,NA,"+","+",NA,NA,NA,NA,NA,25,81.5013296658869,-109.371374415573,10.2018371266503,0.000906417887693397
"4992",-0.93908124280335,"+","+","+","+","+","+","+",NA,"+","+",NA,NA,"+",NA,NA,28,84.9709801635076,-109.367312439691,10.2058991025317,0.000904578832076303
"528",-0.93908124280335,"+","+","+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,19,74.6972358082699,-109.306559528628,10.2666520135955,0.00087751408011331
"416",-0.93908124280335,"+","+","+","+","+",NA,NA,"+","+",NA,NA,NA,NA,NA,NA,27,83.7743608800513,-109.301530748867,10.2716807933565,0.00087531043915752
"672",-0.939081242803352,"+","+","+","+","+",NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,25,81.4468450754275,-109.262405234654,10.3108063075692,0.000858353358061189
