Name	Longitude	Latitude	temp_min	temp_min		Temp min	number of presences		Latitude	number of presences	Mean SSTmin
Fucus serratus	-3.699	50.188	7.882888794	7.9							
Fucus serratus	-3.781	50.188	7.927163124	7.9							
Fucus serratus	-3.588	50.203	7.778273106	7.8							
Fucus serratus	-4.758	50.231	8.217265129	8.2							
Fucus serratus	-4.842	50.232	8.252200127	8.3							
Fucus serratus	-5.506	50.232	8.486627579	8.5							
Fucus serratus	-5.597	50.235	8.570292473	8.6							
Fucus serratus	-4.101	50.237	8.003472328	8.0							
Fucus serratus	-3.923	50.241	7.893577099	7.9							
Fucus serratus	-4.021	50.241	7.920610905	7.9							
Fucus serratus	-4.178	50.319	8.006652832	8.0							
Fucus serratus	-5.335	50.32	8.370615005	8.4							
Fucus serratus	-5.258	50.322	8.327745438	8.3							
Fucus serratus	-4.488	50.323	8.112358093	8.1							
Fucus serratus	-4.76	50.326	8.178441048	8.2							
Fucus serratus	-4.355	50.333	8.047089577	8.0							
Fucus serratus	-3.511	50.434	7.4377141	7.4							
Fucus serratus	-3.512	50.463	7.376517773	7.4							
Fucus serratus	-2.431	50.549	6.95446682	7.0							
Fucus serratus	-1.929	50.574	6.60807991	6.6							
Fucus serratus	-2.071	50.574	6.665797234	6.7							
Fucus serratus	-5	50.576	8.064936638	8.1							
Fucus serratus	-2.257	50.589	6.834492207	6.8							
Fucus serratus	-2.172	50.592	6.798882008	6.8							
Fucus serratus	-1.213	50.596	6.165215969	6.2							
Fucus serratus	-2.345	50.597	6.843144894	6.8							
Fucus serratus	-3.421	50.609	7.273538113	7.3							
Fucus serratus	-1.007	50.657	5.85623312	5.9							
Fucus serratus	-3.087	50.658	7.079994202	7.1							
Fucus serratus	-3.257	50.676	7.191572189	7.2							
Fucus serratus	-1.096	50.683	5.579994202	5.6							
Fucus serratus	-0.011	50.709	6.430675983	6.4							
Fucus serratus	-0.829	50.725	5.834029198	5.8							
Fucus serratus	0.068	50.734	6.426510811	6.4							
Fucus serratus	-4.672	50.735	7.655724049	7.7							
Fucus serratus	-0.653	50.746	5.983482838	6.0							
Fucus serratus	-0.919	50.749	5.732786179	5.7							
Fucus serratus	-1.103	50.75	5.671683788	5.7							
Fucus serratus	-1.407	50.75	5.879654884	5.9							
Fucus serratus	-1.504	50.753	5.910373211	5.9							
Fucus serratus	-1.195	50.763	5.700982094	5.7							
Fucus serratus	1.577	50.805	5.934453011	5.9							
Fucus serratus	1.57	50.808	5.934453011	5.9							
Fucus serratus	-1.03	50.818	5.662302017	5.7							
